,name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price,type,fuel,transmission
69,TVS Scooty Pep Plus,35000,2012,Individual,1st owner,8150,,Two Wheeler,Petrol,NaN
70,Mahindra Mojo XT300,165000,2017,Individual,1st owner,1933,195500.0,Two Wheeler,Petrol,NaN
71,TVS Apache RTR 160,35000,2013,Individual,1st owner,55750,,Two Wheeler,Petrol,NaN
72,Bajaj Pulsar AS200,65000,2015,Individual,1st owner,15856,92074.0,Two Wheeler,Petrol,NaN
73,Bajaj Pulsar 150,29500,2013,Individual,1st owner,27000,,Two Wheeler,Petrol,NaN
74,Royal Enfield Thunderbird 350X,165000,2019,Individual,1st owner,3700,164004.0,Two Wheeler,Petrol,NaN
75,Suzuki Intruder 150,95000,2018,Individual,1st owner,21938,,Two Wheeler,Petrol,NaN
76,Hero Honda Karizma ZMR [2010],50000,2010,Individual,1st owner,48000,,Two Wheeler,Petrol,NaN
77,Honda Dio,7500,2009,Individual,2nd owner,16000,,Two Wheeler,Petrol,NaN
78,Bajaj Xcd,25000,2008,Individual,1st owner,54000,,Two Wheeler,Petrol,NaN
79,Hero Splendor Plus,35000,2014,Individual,2nd owner,35000,,Two Wheeler,Petrol,NaN
80,Royal Enfield Thunderbird 350X,160000,2018,Individual,1st owner,15000,,Two Wheeler,Petrol,NaN
81,Honda CB Unicorn 150,50000,2014,Individual,1st owner,32000,74295.0,Two Wheeler,Petrol,NaN
82,Honda Activa 5G,62000,2019,Individual,1st owner,3500,57557.0,Two Wheeler,Petrol,NaN
83,Honda CB Twister,30000,2013,Individual,1st owner,9000,53857.0,Two Wheeler,Petrol,NaN
84,Hero Splendor PRO,28000,2015,Individual,1st owner,38000,49642.0,Two Wheeler,Petrol,NaN
85,Hero Honda CD Deluxe,25000,2009,Individual,1st owner,50000,,Two Wheeler,Petrol,NaN
86,Honda Activa i [2016-2017],30000,2015,Individual,2nd owner,20000,51112.0,Two Wheeler,Petrol,NaN
87,Royal Enfield Classic Gunmetal Grey,140000,2018,Individual,1st owner,22000,148114.0,Two Wheeler,Petrol,NaN
88,TVS Scooty Zest 110,30000,2017,Individual,1st owner,9432,53751.0,Two Wheeler,Petrol,NaN
89,Hero CD Deluxe,25000,2014,Individual,1st owner,70000,,Two Wheeler,Petrol,NaN
90,Suzuki Access 125 [2007-2016],22000,2010,Individual,2nd owner,43000,58314.0,Two Wheeler,Petrol,NaN
91,Honda Activa [2000-2015],22989,2012,Individual,1st owner,500000,50267.0,Two Wheeler,Petrol,NaN
92,Honda Activa 125 [2016-2017],42000,2016,Individual,1st owner,30514,61653.0,Two Wheeler,Petrol,NaN
93,Suzuki GS150R,30000,2010,Individual,1st owner,130000,70851.0,Two Wheeler,Petrol,NaN
94,Bajaj Pulsar 220S,55000,2015,Individual,1st owner,45000,,Two Wheeler,Petrol,NaN
95,Honda Activa 4G,45000,2018,Individual,1st owner,25000,53079.0,Two Wheeler,Petrol,NaN
96,Yamaha FZ25,150000,2019,Individual,1st owner,2500,133680.0,Two Wheeler,Petrol,NaN
97,Bajaj Pulsar 150,42000,2015,Individual,1st owner,22770,,Two Wheeler,Petrol,NaN
98,Hero Splendor Plus,30000,2015,Individual,1st owner,30000,,Two Wheeler,Petrol,NaN
99,Bajaj Discover 100,24999,2012,Individual,2nd owner,35000,42859.0,Two Wheeler,Petrol,NaN
100,Royal Enfield Thunderbird 350X,160000,2019,Individual,1st owner,6330,,Two Wheeler,Petrol,NaN
101,Royal Enfield Classic 350,175000,2020,Individual,1st owner,500,,Two Wheeler,Petrol,NaN
102,Bajaj Pulsar 150,40000,2013,Individual,1st owner,43400,,Two Wheeler,Petrol,NaN
103,Bajaj Pulsar NS160,85000,2018,Individual,1st owner,7004,,Two Wheeler,Petrol,NaN
104,Royal Enfield Classic Desert Storm,150000,2017,Individual,1st owner,16500,181445.0,Two Wheeler,Petrol,NaN
105,Suzuki Gixxer SF,80000,2018,Individual,1st owner,12500,,Two Wheeler,Petrol,NaN
106,TVS Apache RTR 200 4V,95000,2018,Individual,1st owner,9600,,Two Wheeler,Petrol,NaN
107,Bajaj V15,42000,2016,Individual,1st owner,35000,65626.0,Two Wheeler,Petrol,NaN
108,TVS XL 100 Heavy Duty,40000,2019,Individual,1st owner,11000,,Two Wheeler,Petrol,NaN
109,Yamaha FZ S V 2.0,50000,2015,Individual,1st owner,20000,84042.0,Two Wheeler,Petrol,NaN
110,Hero HF Deluxe,40000,2018,Individual,1st owner,13000,,Two Wheeler,Petrol,NaN
111,Aprilia SR 125,75000,2019,Individual,1st owner,3500,,Two Wheeler,Petrol,NaN
112,Yamaha FZ25,120000,2017,Individual,1st owner,9000,132680.0,Two Wheeler,Petrol,NaN
113,Hero Honda Glamour,30000,2008,Individual,1st owner,7500,,Two Wheeler,Petrol,NaN
114,Bajaj Discover 125 ST,17500,2013,Individual,1st owner,38000,58438.0,Two Wheeler,Petrol,NaN
115,Hero Honda Passion Plus,7500,2004,Individual,1st owner,120000,,Two Wheeler,Petrol,NaN
116,Honda Aviator,57000,2018,Individual,1st owner,6465,61118.0,Two Wheeler,Petrol,NaN
117,Vespa SXL 149,80000,2018,Individual,1st owner,18803,,Two Wheeler,Petrol,NaN
118,TVS Scooty Pep Plus,18000,2010,Individual,1st owner,20000,,Two Wheeler,Petrol,NaN
119,Hero Xtreme [2013-2014],25000,2013,Individual,1st owner,24000,75936.0,Two Wheeler,Petrol,NaN
120,Royal Enfield Thunderbird 350,83900,2014,Individual,2nd owner,22000,,Two Wheeler,Petrol,NaN
121,UM Renegade Commando,160000,2018,Individual,1st owner,7000,180525.0,Two Wheeler,Petrol,NaN
122,Royal Enfield Classic Gunmetal Grey,135000,2018,Individual,1st owner,6100,148114.0,Two Wheeler,Petrol,NaN
123,Honda CB Hornet 160R,55000,2017,Individual,1st owner,14000,87543.0,Two Wheeler,Petrol,NaN
124,Honda Shine,50000,2017,Individual,1st owner,23000,,Two Wheeler,Petrol,NaN
125,Bajaj Discover 100,20000,2012,Individual,1st owner,85000,42859.0,Two Wheeler,Petrol,NaN
126,Hero Honda CBZ extreme,25000,2010,Individual,1st owner,40000,,Two Wheeler,Petrol,NaN
127,Royal Enfield Classic 350,125000,2017,Individual,1st owner,18000,,Two Wheeler,Petrol,NaN
128,Honda Activa 5G,55000,2019,Individual,1st owner,10000,57557.0,Two Wheeler,Petrol,NaN
129,Bajaj Avenger Street 150 [2018],50000,2016,Individual,1st owner,40000,80435.0,Two Wheeler,Petrol,NaN
130,Royal Enfield Continental GT 650,299000,2019,Individual,1st owner,1500,,Two Wheeler,Petrol,NaN
131,Honda Activa 3G,60000,2015,Individual,1st owner,30000,54605.0,Two Wheeler,Petrol,NaN
132,Honda Activa 3G,40000,2015,Individual,1st owner,3000,54605.0,Two Wheeler,Petrol,NaN
133,Bajaj Pulsar 180,15000,2008,Individual,1st owner,55000,85011.0,Two Wheeler,Petrol,NaN
134,Harley-Davidson Street Bob,750000,2013,Individual,2nd owner,12000,1278000.0,Two Wheeler,Petrol,NaN
135,Hero Honda CBZ extreme,20000,2007,Individual,1st owner,90000,,Two Wheeler,Petrol,NaN
136,Royal Enfield Classic Gunmetal Grey,190000,2020,Individual,1st owner,500,155740.0,Two Wheeler,Petrol,NaN
137,KTM 390 Duke ABS [2013-2016],130000,2015,Individual,1st owner,50000,202127.0,Two Wheeler,Petrol,NaN
138,Honda CB Hornet 160R,54786,2016,Individual,1st owner,25000,88161.0,Two Wheeler,Petrol,NaN
139,KTM 200 Duke,72000,2013,Individual,1st owner,36500,,Two Wheeler,Petrol,NaN
140,Hero Karizma 2014,35000,2013,Individual,1st owner,26000,86744.0,Two Wheeler,Petrol,NaN
141,Hero Glamour 125,45000,2017,Individual,1st owner,18000,61600.0,Two Wheeler,Petrol,NaN
142,Royal Enfield Classic 350,85000,2013,Individual,1st owner,49000,,Two Wheeler,Petrol,NaN
143,Royal Enfield Classic 500,100000,2013,Individual,1st owner,18000,156304.0,Two Wheeler,Petrol,NaN
144,Bajaj Dominar 400,138000,2017,Individual,1st owner,15000,,Two Wheeler,Petrol,NaN
145,Royal Enfield Thunderbird 350X,150000,2018,Individual,1st owner,8500,,Two Wheeler,Petrol,NaN
146,KTM RC 390,180000,2017,Individual,1st owner,3775,,Two Wheeler,Petrol,NaN
147,Royal Enfield Thunderbird 350,100000,2015,Individual,1st owner,14500,,Two Wheeler,Petrol,NaN
148,Hero Hunk,20000,2010,Individual,1st owner,35000,78513.0,Two Wheeler,Petrol,NaN
149,KTM 390 Duke,170000,2017,Individual,1st owner,14000,,Two Wheeler,Petrol,NaN
150,Suzuki Gixxer [2014-2018],60000,2016,Individual,1st owner,16000,84246.0,Two Wheeler,Petrol,NaN
151,Royal Enfield Bullet 350,123000,2016,Individual,1st owner,7000,,Two Wheeler,Petrol,NaN
152,Suzuki Access 125,60000,2017,Individual,1st owner,4000,,Two Wheeler,Petrol,NaN
153,TVS Apache RTR 200 4V,100000,2017,Individual,1st owner,45000,,Two Wheeler,Petrol,NaN
154,Hero Xtreme Sports,22000,2014,Individual,1st owner,99000,78350.0,Two Wheeler,Petrol,NaN
155,Honda Activa [2000-2015],30000,2014,Individual,1st owner,52000,50267.0,Two Wheeler,Petrol,NaN
156,Bajaj Discover 125,28000,2013,Individual,1st owner,45000,60122.0,Two Wheeler,Petrol,NaN
157,Bajaj Pulsar 150,50000,2007,Individual,1st owner,52000,,Two Wheeler,Petrol,NaN
158,Yamaha Saluto RX,40000,2017,Individual,1st owner,27000,49521.0,Two Wheeler,Petrol,NaN
159,Hero HF Deluxe,43000,2018,Individual,1st owner,60000,,Two Wheeler,Petrol,NaN
160,Suzuki Access 125,40000,2015,Individual,1st owner,2300,,Two Wheeler,Petrol,NaN
161,Royal Enfield Classic Desert Storm,100000,2012,Individual,1st owner,15000,181445.0,Two Wheeler,Petrol,NaN
162,Hero HF Deluxe,30000,2016,Individual,1st owner,50000,,Two Wheeler,Petrol,NaN
163,KTM RC 200,130000,2017,Individual,1st owner,27000,,Two Wheeler,Petrol,NaN
164,Honda CB Hornet 160R,48000,2016,Individual,2nd owner,25000,88161.0,Two Wheeler,Petrol,NaN
165,Bajaj CT 100,32000,2017,Individual,1st owner,40000,,Two Wheeler,Petrol,NaN
166,Hero Honda Pleasure,23000,2010,Individual,1st owner,32000,,Two Wheeler,Petrol,NaN
167,Bajaj Pulsar 135 LS,20000,2010,Individual,2nd owner,50000,64589.0,Two Wheeler,Petrol,NaN
168,Royal Enfield Classic 350,125000,2017,Individual,1st owner,36000,,Two Wheeler,Petrol,NaN
169,Honda Navi [2016-2017],23000,2016,Individual,1st owner,17450,44389.0,Two Wheeler,Petrol,NaN
170,Bajaj Discover 125,15000,2011,Individual,1st owner,32000,57549.0,Two Wheeler,Petrol,NaN
171,Yamaha SZ RR V 2.0,35000,2015,Individual,1st owner,38000,69983.0,Two Wheeler,Petrol,NaN
172,Bajaj Discover 150,25000,2014,Individual,2nd owner,71000,54299.0,Two Wheeler,Petrol,NaN
173,Bajaj Pulsar 150,80000,2019,Individual,1st owner,8000,,Two Wheeler,Petrol,NaN
174,TVS Flame,15000,2010,Individual,1st owner,12000,,Two Wheeler,Petrol,NaN
175,Vespa VX 125,45000,2013,Individual,2nd owner,50000,72303.0,Two Wheeler,Petrol,NaN
176,Yamaha SZ X,25000,2012,Individual,2nd owner,30000,65800.0,Two Wheeler,Petrol,NaN
177,Honda CBF Stunner,35000,2013,Individual,1st owner,15888,58757.0,Two Wheeler,Petrol,NaN
178,Bajaj Discover 100 T,25000,2013,Individual,1st owner,26000,47032.0,Two Wheeler,Petrol,NaN
179,Royal Enfield Classic 350,170000,2018,Individual,1st owner,5600,,Two Wheeler,Petrol,NaN
180,Honda Activa [2000-2015],25000,2014,Individual,1st owner,41000,50267.0,Two Wheeler,Petrol,NaN
181,Royal Enfield Electra 5 S,60000,2007,Individual,2nd owner,19612,,Two Wheeler,Petrol,NaN
182,Bajaj Pulsar 150,41000,2012,Individual,1st owner,17000,,Two Wheeler,Petrol,NaN
183,Honda Shine,35000,2012,Individual,1st owner,33700,,Two Wheeler,Petrol,NaN
184,Honda CB Unicorn 160,75000,2015,Individual,1st owner,100000,79233.0,Two Wheeler,Petrol,NaN
185,Honda Activa 3G,47999,2016,Individual,1st owner,6000,54605.0,Two Wheeler,Petrol,NaN
186,Honda Shine,36999,2011,Individual,1st owner,21000,,Two Wheeler,Petrol,NaN
187,Bajaj Pulsar 180,25000,2007,Individual,1st owner,80000,85011.0,Two Wheeler,Petrol,NaN
188,Suzuki Gixxer SF,60000,2016,Individual,1st owner,15000,,Two Wheeler,Petrol,NaN
189,Honda CB Unicorn 150,50000,2007,Individual,1st owner,46000,74295.0,Two Wheeler,Petrol,NaN
190,Yamaha YZF R15 [2011-2018],65000,2013,Individual,1st owner,11000,118997.0,Two Wheeler,Petrol,NaN
191,TVS Sport,12000,2007,Individual,1st owner,72000,,Two Wheeler,Petrol,NaN
192,Bajaj Pulsar AS200,60000,2015,Individual,1st owner,50000,92074.0,Two Wheeler,Petrol,NaN
193,Honda Activa [2000-2015],20000,2010,Individual,1st owner,50000,50267.0,Two Wheeler,Petrol,NaN
194,Yamaha FZ16,27000,2011,Individual,1st owner,67000,78712.0,Two Wheeler,Petrol,NaN
195,Bajaj Boxer,10000,2000,Individual,1st owner,30000,,Two Wheeler,Petrol,NaN
196,Hero Honda Hunk,56000,2015,Individual,1st owner,48000,,Two Wheeler,Petrol,NaN
197,Hero Honda Hunk,58000,2015,Individual,1st owner,48000,,Two Wheeler,Petrol,NaN
198,Bajaj Avenger Cruise 220,87000,2018,Individual,1st owner,8000,,Two Wheeler,Petrol,NaN
199,Yamaha Ray Z,35000,2015,Individual,1st owner,15500,52949.0,Two Wheeler,Petrol,NaN
200,Bajaj Pulsar 180,35000,2012,Individual,1st owner,45000,85011.0,Two Wheeler,Petrol,NaN
201,Bajaj Discover 150F,40000,2014,Individual,2nd owner,60855,64071.0,Two Wheeler,Petrol,NaN
202,Bajaj Pulsar 135 LS,56000,2017,Individual,3rd owner,37714,64589.0,Two Wheeler,Petrol,NaN
203,Bajaj Pulsar 180,30000,2008,Individual,2nd owner,60000,85011.0,Two Wheeler,Petrol,NaN
204,Honda Activa 125 [2016-2017],40000,2017,Individual,1st owner,26000,61545.0,Two Wheeler,Petrol,NaN
205,Hero HF Deluxe,60000,2019,Individual,1st owner,6000,,Two Wheeler,Petrol,NaN
206,Hero Karizma 2014,40000,2013,Individual,1st owner,30000,86744.0,Two Wheeler,Petrol,NaN
207,Bajaj Platina 100,40000,2018,Individual,1st owner,17000,,Two Wheeler,Petrol,NaN
208,Royal Enfield Bullet 500,130000,2015,Individual,1st owner,34601,168482.0,Two Wheeler,Petrol,NaN
209,Bajaj Pulsar AS200,45000,2015,Individual,1st owner,48000,92074.0,Two Wheeler,Petrol,NaN
210,Yamaha FZ S [2012-2016],42000,2013,Individual,1st owner,60000,79432.0,Two Wheeler,Petrol,NaN
211,Bajaj Pulsar 220 Fi,25000,2012,Individual,1st owner,44000,,Two Wheeler,Petrol,NaN
212,Bajaj Pulsar 150,15000,2006,Individual,1st owner,55000,,Two Wheeler,Petrol,NaN
213,Bajaj Dominar 400 [2018],170000,2018,Individual,1st owner,16000,163331.0,Two Wheeler,Petrol,NaN
214,Hero Passion X Pro [2016-2017],38000,2016,Individual,2nd owner,20000,59095.0,Two Wheeler,Petrol,NaN
215,Yamaha FZ S V 2.0,60000,2015,Individual,2nd owner,17500,84042.0,Two Wheeler,Petrol,NaN
216,TVS Apache RTR 160,65000,2017,Individual,1st owner,46000,,Two Wheeler,Petrol,NaN
217,Bajaj Avenger [2015],35000,2011,Individual,1st owner,30000,75502.0,Two Wheeler,Petrol,NaN
218,Bajaj Pulsar 150,70000,2019,Individual,1st owner,6500,,Two Wheeler,Petrol,NaN
219,Hero Honda Glamour,15000,2006,Individual,1st owner,80000,,Two Wheeler,Petrol,NaN
220,Hero Splendor iSmart,50000,2017,Individual,2nd owner,10000,52271.0,Two Wheeler,Petrol,NaN
221,Royal Enfield Classic 350,145000,2017,Individual,1st owner,2200,,Two Wheeler,Petrol,NaN
222,Yamaha FZ16,25000,2008,Individual,1st owner,40000,78712.0,Two Wheeler,Petrol,NaN
223,Hero Xtreme Sports,58000,2016,Individual,1st owner,21000,80350.0,Two Wheeler,Petrol,NaN
224,Royal Enfield Bullet 350 [2007-2011],90000,2007,Individual,1st owner,3500,,Two Wheeler,Petrol,NaN
225,Hero Honda Passion,9000,2002,Individual,2nd owner,66191,,Two Wheeler,Petrol,NaN
226,Bajaj Discover 150S,40000,2014,Individual,1st owner,50000,63331.0,Two Wheeler,Petrol,NaN
227,TVS Scooty Zest 110,28000,2015,Individual,1st owner,32800,52372.0,Two Wheeler,Petrol,NaN
228,Bajaj Avenger Street 150 [2018],50000,2016,Individual,1st owner,32000,80435.0,Two Wheeler,Petrol,NaN
229,Yamaha Cygnus Ray ZR,56000,2019,Individual,1st owner,3900,58630.0,Two Wheeler,Petrol,NaN
230,Honda Activa [2000-2015],35000,2014,Individual,1st owner,10000,50267.0,Two Wheeler,Petrol,NaN
231,TVS Apache RTR 200 4V,95000,2018,Individual,1st owner,9600,,Two Wheeler,Petrol,NaN
232,Honda Shine,30000,2010,Individual,1st owner,46782,,Two Wheeler,Petrol,NaN
233,Honda CB Hornet 160R,95000,2019,Individual,1st owner,8000,94703.0,Two Wheeler,Petrol,NaN
234,Honda Activa i [2016-2017],40000,2017,Individual,1st owner,11000,53436.0,Two Wheeler,Petrol,NaN
235,Hero Karizma 2014,30000,2014,Individual,2nd owner,51000,86744.0,Two Wheeler,Petrol,NaN
236,Bajaj Discover 100 T,18000,2013,Individual,1st owner,45000,47032.0,Two Wheeler,Petrol,NaN
237,Honda Aviator,14000,2008,Individual,1st owner,66000,59183.0,Two Wheeler,Petrol,NaN
238,Hero Splendor Plus,17000,2010,Individual,2nd owner,50000,,Two Wheeler,Petrol,NaN
239,Royal Enfield Thunderbird 350,125000,2017,Individual,1st owner,23500,,Two Wheeler,Petrol,NaN
240,Bajaj CT 110,20000,2015,Individual,1st owner,25000,,Two Wheeler,Petrol,NaN
241,Hero Passion PRO i3s,50000,2017,Individual,1st owner,41000,56925.0,Two Wheeler,Petrol,NaN
242,KTM RC 390,210000,2017,Individual,1st owner,12000,,Two Wheeler,Petrol,NaN
243,Bajaj Pulsar 220F,70000,2018,Individual,1st owner,33000,,Two Wheeler,Petrol,NaN
244,Hero Maestro Edge,40000,2017,Individual,1st owner,15000,55980.0,Two Wheeler,Petrol,NaN
245,Bajaj Xcd,10000,2008,Individual,1st owner,50000,,Two Wheeler,Petrol,NaN
246,Bajaj Pulsar 150,35000,2010,Individual,1st owner,40000,,Two Wheeler,Petrol,NaN
247,TVS Centra,10000,2005,Individual,1st owner,50000,,Two Wheeler,Petrol,NaN
248,Honda Activa 3G,42000,2015,Individual,1st owner,20000,54605.0,Two Wheeler,Petrol,NaN
249,Yamaha FZ16,20000,2009,Individual,1st owner,50000,78712.0,Two Wheeler,Petrol,NaN
250,Hero Maestro Edge,25000,2017,Individual,1st owner,55000,52790.0,Two Wheeler,Petrol,NaN
251,Bajaj Discover 125,25000,2016,Individual,1st owner,70350,60122.0,Two Wheeler,Petrol,NaN
252,Royal Enfield Thunderbird 350X,145000,2019,Individual,1st owner,2700,164004.0,Two Wheeler,Petrol,NaN
253,Hero Super Splendor,50000,2016,Individual,1st owner,20000,,Two Wheeler,Petrol,NaN
254,TVS Scooty Pep Plus,30000,2011,Individual,1st owner,20000,,Two Wheeler,Petrol,NaN
255,Yamaha FZ V 2.0,60000,2014,Individual,1st owner,41311,81508.0,Two Wheeler,Petrol,NaN
256,Hero Honda Splendor Plus,15000,2005,Individual,1st owner,65000,,Two Wheeler,Petrol,NaN
257,Hero CD Deluxe,15000,2014,Individual,2nd owner,34000,,Two Wheeler,Petrol,NaN
258,Hero Honda Passion PRO [2012],25000,2011,Individual,1st owner,20000,,Two Wheeler,Petrol,NaN
259,Hero HF Deluxe i3s,54000,2019,Individual,1st owner,11000,,Two Wheeler,Petrol,NaN
260,Bajaj Xcd,25000,2007,Individual,1st owner,75000,,Two Wheeler,Petrol,NaN
261,Royal Enfield Interceptor 650,260000,2019,Individual,1st owner,1200,,Two Wheeler,Petrol,NaN
